ID,Title,N_of_page,N_of_author,N_of_keyword
5708198,Constraint Fluids,11,41,434
5710905,Efficient Visibility Encoding for Dynamic Illumination in Direct Volume Rendering,16,26,271
5728801,The Squash-and-Stretch Stylization for Character Motions,13,35,352
5728804,AniPaint: Interactive Painterly Animation from Video,13,33,325
5728946,Time-Varying Data Visualization Using Functional Representations,13,18,205
5753889,Example-Based Automatic Music-Driven Conventional Dance Motion Synthesis,15,38,397
5753891,Flow-Based Local Optimization for Image-to-Geometry Projection,12,31,304
5753894,Streamline Embedding for 3D Vector Field Exploration,14,15,181
5887328,"Automated Construction of Low-Resolution, Texture-Mapped, Class-Optimal Meshes",13,20,241
5963662,Integrality and Separability of Multitouch Interaction Techniques in 3D Manipulation Tasks,12,9,73
5963666,Simulating and Evaluating the Local Behavior of Small Pedestrian Groups,13,13,150
6018965,Design and Application of Real-Time Visual Attention Model for the Exploration of 3D Virtual Environments,13,6,35
6060818,Autocalibration of Multiprojector CAVE-Like Immersive Environments,13,11,121
